# sigma_xx, sigma_yy, sigma_zz, sigma_xy, sigma_yz, sigma_xz, epsilon_xx, epsilon_yy, epsilon_zz, epsilon_xy, epsilon_yz, epsilon_xz, vonMises, epsPlastic, hardening, epsilonP_xx, epsilonP_yy, epsilonP_zz, epsilonP_xy, epsilonP_yz, epsilonP_xz, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
-547076.90227,-485297.04406,-309712.18390,34141.50059,   0.00000,   0.00000,  -0.00062,  -0.00046,   0.00000,   0.00018,   0.00000,   0.00000,221339.84718,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-55206687.31813,   0.00000
-1088463.55444,-968155.40951,-616985.68918,68283.00117,   0.00000,   0.00000,  -0.00123,  -0.00091,   0.00000,   0.00036,   0.00000,   0.00000,440488.93807,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-54987538.22723,   0.00000
-1629850.20660,-1451013.77496,-924259.19447,100798.71602,   0.00000,   0.00000,  -0.00183,  -0.00137,   0.00000,   0.00052,   0.00000,   0.00000,658890.66645,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-54769136.49886,   0.00000
-2163107.93006,-1925743.21169,-1226655.34253,134940.21661,   0.00000,   0.00000,  -0.00243,  -0.00182,   0.00000,   0.00070,   0.00000,   0.00000,875003.56553,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-54553023.59977,   0.00000
-2704494.58223,-2408601.57714,-1533928.84781,167455.93145,   0.00000,   0.00000,  -0.00304,  -0.00227,   0.00000,   0.00087,   0.00000,   0.00000,1093407.08941,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-54334620.07589,   0.00000
-3237752.30569,-2883331.01388,-1836324.99587,201597.43204,   0.00000,   0.00000,  -0.00364,  -0.00272,   0.00000,   0.00105,   0.00000,   0.00000,1309519.70321,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-54118507.46210,   0.00000
-3765319.77905,-3355621.77200,-2136282.46532,234113.14688,   0.00000,   0.00000,  -0.00424,  -0.00317,   0.00000,   0.00122,   0.00000,   0.00000,1522704.36471,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-53905322.80060,   0.00000
-4292887.25241,-3827912.53013,-2436239.93476,266628.86173,   0.00000,   0.00000,  -0.00483,  -0.00362,   0.00000,   0.00139,   0.00000,   0.00000,1735891.56727,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-53692135.59804,   0.00000
