# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
419230.76923,-726923.07692,-38461.53846,   0.00133,  -0.00165,  -0.00020,1006656.83734,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54421370.32796,   0.00000
834615.38462,-1450000.00000,-76923.07692,   0.00265,  -0.00329,  -0.00040,2006745.28210,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53421281.88321,   0.00000
1250000.00000,-2173076.92308,-117307.69231,   0.00397,  -0.00493,  -0.00061,3007057.15800,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52420970.00731,   0.00000
1665384.61538,-2896153.84615,-159615.38462,   0.00529,  -0.00657,  -0.00083,4007599.56707,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-51420427.59824,   0.00000
2083653.84615,-3612500.00000,-201923.07692,   0.00661,  -0.00820,  -0.00105,5004127.08740,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50423900.07791,   0.00000
2501923.07692,-4328846.15385,-244230.76923,   0.00793,  -0.00983,  -0.00127,6000659.48052,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49427367.68478,   0.00000
2920192.30769,-5045192.30769,-290384.61538,   0.00925,  -0.01146,  -0.00151,6997670.32503,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48430356.84028,   0.00000
3334615.38462,-5757692.30769,-336538.46154,   0.01056,  -0.01308,  -0.00175,7988125.20125,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47439901.96406,   0.00000
3758653.84615,-6460576.92308,-382692.30769,   0.01188,  -0.01469,  -0.00199,8977135.70253,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46450891.46278,   0.00000
4173076.92308,-7173076.92308,-430769.23077,   0.01319,  -0.01631,  -0.00224,9967852.91404,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45460174.25126,   0.00000
4590384.61538,-7878846.15385,-478846.15385,   0.01450,  -0.01792,  -0.00249,10954572.68550,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44473454.47981,   0.00000
5010576.92308,-8577884.61538,-528846.15385,   0.01581,  -0.01952,  -0.00275,11937552.97550,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-43490474.18980,   0.00000
5430769.23077,-9276923.07692,-580769.23077,   0.01712,  -0.02112,  -0.00302,12920807.37855,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42507219.78676,   0.00000
5850961.53846,-9975961.53846,-632692.30769,   0.01843,  -0.02272,  -0.00329,13904079.45463,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41523947.71067,   0.00000
6267307.69231,-10671153.84615,-686538.46154,   0.01973,  -0.02431,  -0.00357,14881064.47408,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-40546962.69123,   0.00000
6690384.61538,-11363461.53846,-740384.61538,   0.02104,  -0.02590,  -0.00385,15860641.24897,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-39567385.91634,   0.00000
7106730.76923,-12058653.84615,-796153.84615,   0.02234,  -0.02749,  -0.00414,16837931.70113,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-38590095.46418,   0.00000
7525961.53846,-12747115.38462,-853846.15385,   0.02364,  -0.02907,  -0.00444,17811527.37924,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-37616499.78607,   0.00000
7945192.30769,-13435576.92308,-911538.46154,   0.02494,  -0.03065,  -0.00474,18785147.26004,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-36642879.90527,   0.00000
8367307.69231,-14117307.69231,-969230.76923,   0.02624,  -0.03222,  -0.00504,19754804.39280,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-35673222.77251,   0.00000
8782692.30769,-14801923.07692,-1028846.15385,   0.02753,  -0.03379,  -0.00535,20722184.25066,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-34705842.91464,   0.00000
9207692.30769,-15476923.07692,-1090384.61538,   0.02883,  -0.03535,  -0.00567,21688483.27921,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-33739543.88609,   0.00000
9625961.53846,-16154807.69231,-1153846.15385,   0.03012,  -0.03691,  -0.00600,22652518.34704,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-32775508.81827,   0.00000
10050961.53846,-16829807.69231,-1215384.61538,   0.03142,  -0.03847,  -0.00632,23618879.81918,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-31809147.34613,   0.00000
10472115.38462,-17500961.53846,-1280769.23077,   0.03271,  -0.04002,  -0.00666,24579301.32122,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-30848725.84409,   0.00000
10896153.84615,-18165384.61538,-1346153.84615,   0.03400,  -0.04156,  -0.00700,25535790.23332,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-29892236.93198,   0.00000
11320192.30769,-18829807.69231,-1411538.46154,   0.03529,  -0.04310,  -0.00734,26492315.45734,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-28935711.70796,   0.00000
11737500.00000,-19497115.38462,-1480769.23077,   0.03657,  -0.04464,  -0.00770,27446891.24368,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-27981135.92163,   0.00000
12164423.07692,-20154807.69231,-1548076.92308,   0.03786,  -0.04617,  -0.00805,28399836.20007,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-27028190.96524,   0.00000
12584615.38462,-20815384.61538,-1619230.76923,   0.03914,  -0.04770,  -0.00842,29350845.22436,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-26077181.94094,   0.00000
13011538.46154,-21473076.92308,-1688461.53846,   0.04043,  -0.04923,  -0.00878,30304185.17389,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-25123841.99142,   0.00000
13434615.38462,-22126923.07692,-1761538.46154,   0.04171,  -0.05075,  -0.00916,31251645.87382,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-24176381.29149,   0.00000
13860576.92308,-22774038.46154,-1834615.38462,   0.04299,  -0.05226,  -0.00954,32195204.19662,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-23232822.96869,   0.00000
14286538.46154,-23421153.84615,-1907692.30769,   0.04427,  -0.05377,  -0.00992,33138809.78185,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-22289217.38346,   0.00000
14712500.00000,-24068269.23077,-1982692.30769,   0.04555,  -0.05528,  -0.01031,34082794.15531,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-21345233.00999,   0.00000
15141346.15385,-24708653.84615,-2059615.38462,   0.04683,  -0.05678,  -0.01071,35023224.66189,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-20404802.50341,   0.00000
15566346.15385,-25345192.30769,-2136538.46154,   0.04810,  -0.05827,  -0.01111,35957145.77501,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-19470881.39029,   0.00000
15998076.92308,-25978846.15385,-2215384.61538,   0.04938,  -0.05976,  -0.01152,36894095.44692,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-18533931.71839,   0.00000
16423076.92308,-26615384.61538,-2294230.76923,   0.05065,  -0.06125,  -0.01193,37828470.06144,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-17599557.10386,   0.00000
16850961.53846,-27245192.30769,-2375000.00000,   0.05192,  -0.06273,  -0.01235,38759321.08976,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-16668706.07555,   0.00000
17278846.15385,-27875000.00000,-2457692.30769,   0.05319,  -0.06421,  -0.01278,39690587.55404,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-15737439.61127,   0.00000
17709615.38462,-28498076.92308,-2540384.61538,   0.05446,  -0.06568,  -0.01321,40617994.88990,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-14810032.27541,   0.00000
18140384.61538,-29121153.84615,-2625000.00000,   0.05573,  -0.06715,  -0.01365,41545829.65279,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-13882197.51252,   0.00000
18574038.46154,-29737500.00000,-2709615.38462,   0.05700,  -0.06861,  -0.01409,42469816.65099,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-12958210.51432,   0.00000
19010576.92308,-30347115.38462,-2794230.76923,   0.05827,  -0.07006,  -0.01453,43389961.91867,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-12038065.24664,   0.00000
