dH/H forceTopX forceTopY lengthFoot time(mins)
-0.000e+00 -2.050e+02 -2.701e+04 4.500e-01 6.116e-02
-5.625e-04 8.887e+01 -3.059e+04 4.500e-01 2.209e-01
-1.125e-03 3.575e+02 -3.440e+04 4.500e-01 4.596e-01
-1.687e-03 5.759e+02 -3.803e+04 4.500e-01 7.814e-01
-2.250e-03 7.484e+02 -4.150e+04 4.500e-01 1.109e+00
-2.812e-03 8.910e+02 -4.477e+04 4.500e-01 1.511e+00
-3.375e-03 1.002e+03 -4.785e+04 4.500e-01 1.995e+00
-3.938e-03 1.088e+03 -5.075e+04 4.500e-01 2.572e+00
-4.500e-03 1.141e+03 -5.354e+04 4.500e-01 3.145e+00
-5.062e-03 1.171e+03 -5.618e+04 4.500e-01 3.805e+00
-5.625e-03 1.188e+03 -5.873e+04 4.500e-01 4.467e+00
-6.187e-03 1.197e+03 -6.113e+04 4.500e-01 5.301e+00
-6.750e-03 1.188e+03 -6.340e+04 4.500e-01 6.222e+00
-7.312e-03 1.151e+03 -6.566e+04 4.500e-01 7.136e+00
-7.875e-03 1.103e+03 -6.786e+04 4.500e-01 8.057e+00
-8.437e-03 1.099e+03 -7.009e+04 4.500e-01 8.983e+00
-9.000e-03 1.098e+03 -7.232e+04 4.500e-01 9.988e+00
-9.562e-03 1.027e+03 -7.444e+04 4.500e-01 1.109e+01
-1.012e-02 9.816e+02 -7.664e+04 4.500e-01 1.210e+01
-1.069e-02 8.696e+02 -7.879e+04 4.500e-01 1.320e+01
-1.125e-02 7.178e+02 -8.087e+04 4.500e-01 1.429e+01
-1.181e-02 6.819e+02 -8.293e+04 4.500e-01 1.539e+01
-1.237e-02 6.404e+02 -8.499e+04 4.500e-01 1.649e+01
-1.294e-02 5.763e+02 -8.702e+04 4.500e-01 1.758e+01
-1.350e-02 4.621e+02 -8.891e+04 4.500e-01 1.886e+01
-1.406e-02 3.884e+02 -9.098e+04 4.500e-01 2.004e+01
-1.462e-02 2.023e+02 -9.289e+04 4.500e-01 2.123e+01
-1.519e-02 2.117e+02 -9.490e+04 4.500e-01 2.233e+01
-1.575e-02 1.838e+02 -9.697e+04 4.500e-01 2.326e+01
-1.631e-02 1.580e+02 -9.892e+04 4.500e-01 2.437e+01
-1.687e-02 8.082e+01 -1.007e+05 4.500e-01 2.556e+01
-1.744e-02 -1.076e+02 -1.024e+05 4.500e-01 2.720e+01
-1.800e-02 -1.457e+02 -1.044e+05 4.500e-01 2.830e+01
-1.856e-02 -2.162e+02 -1.061e+05 4.500e-01 2.949e+01
-1.912e-02 -3.139e+02 -1.079e+05 4.500e-01 3.060e+01
-1.969e-02 -2.428e+02 -1.097e+05 4.500e-01 3.190e+01
-2.025e-02 -2.891e+02 -1.114e+05 4.500e-01 3.311e+01
-2.081e-02 -3.772e+02 -1.128e+05 4.500e-01 3.431e+01
-2.137e-02 -3.881e+02 -1.143e+05 4.500e-01 3.542e+01
-2.194e-02 -4.102e+02 -1.156e+05 4.500e-01 3.663e+01
-2.250e-02 -3.804e+02 -1.168e+05 4.500e-01 3.803e+01
-2.306e-02 -1.754e+02 -1.164e+05 4.500e-01 4.041e+01
-2.362e-02 -1.237e+02 -1.175e+05 4.500e-01 4.154e+01
-2.419e-02 -9.245e+01 -1.187e+05 4.500e-01 4.258e+01
-2.475e-02 -6.883e+01 -1.202e+05 4.500e-01 4.370e+01
-2.531e-02 -2.006e+02 -1.214e+05 4.500e-01 4.491e+01
-2.587e-02 -4.453e+02 -1.225e+05 4.500e-01 4.640e+01
-2.644e-02 -5.944e+02 -1.233e+05 4.500e-01 4.789e+01
-2.700e-02 -7.245e+02 -1.244e+05 4.500e-01 4.928e+01
-2.756e-02 -7.716e+02 -1.255e+05 4.500e-01 5.049e+01
-2.812e-02 -7.616e+02 -1.268e+05 4.500e-01 5.162e+01
-2.869e-02 -7.910e+02 -1.280e+05 4.500e-01 5.273e+01
-2.925e-02 -7.871e+02 -1.293e+05 4.500e-01 5.377e+01
-2.981e-02 -8.105e+02 -1.303e+05 4.500e-01 5.489e+01
-3.037e-02 -8.581e+02 -1.315e+05 4.500e-01 5.602e+01
-3.094e-02 -8.530e+02 -1.328e+05 4.500e-01 5.715e+01
-3.150e-02 -7.946e+02 -1.339e+05 4.500e-01 5.847e+01
-3.206e-02 -1.070e+03 -1.346e+05 4.500e-01 6.054e+01
-3.262e-02 -1.246e+03 -1.354e+05 4.500e-01 6.258e+01
