train_loss_history validation_loss_history
0 9633.368 2339.3147
100 7696.0107 1839.2614
200 7691.85 1837.8463
300 7313.2964 1687.2933
400 6527.021 1620.1976
500 6363.609 1593.4475
600 7268.1055 1596.036
700 7034.749 1536.2211
800 6823.344 1537.1923
900 6271.972 1570.0118
1000 5767.93 1542.0106
1100 5412.64 1519.2865
1200 5312.7407 1516.6758
1300 5280.275 1482.586
1400 5112.412 1458.8704
1500 5066.9614 1452.7328
1600 5308.354 1435.2394
1700 5207.04 1485.5674
1800 5167.0933 1434.0721
1900 5033.59 1430.6929
2000 4965.007 1439.4377
2100 4878.891 1449.753
2200 4809.7817 1481.0795
2300 4767.59 1486.91
2400 5342.1274 1514.915
