# epsilon_xx, epsilon_yy, epsilon_xy
-99999.99966,-99999.99945,-99999.99957
-97997.75054,-100236.07902,-99564.36201
-96010.34517,-100492.53546,-99090.01696
-94048.90871,-100778.34693,-98580.00841
-92124.73211,-101101.11594,-98038.03680
-90249.09499,-101466.90407,-97468.43275
-88433.13148,-101880.10291,-96876.13232
-86687.69990,-102343.35794,-96266.64789
-85023.22856,-102857.52392,-95646.01251
-83449.57950,-103421.69461,-95020.76021
-81975.91946,-104033.24972,-94397.84825
-80610.60410,-104687.97466,-93784.61381
-79361.06610,-105380.18358,-93188.67158
-78233.71792,-106102.91269,-92617.87096
-77233.87235,-106848.11275,-92080.17582
-76365.68370,-107606.86516,-91583.57052
-75632.07457,-108369.61809,-91135.96038
-75034.71026,-109126.43382,-90745.04848
-74573.98129,-109867.21221,-90418.21549
-74248.96611,-110581.90984,-90162.39921
-74057.45603,-111260.78473,-89983.96977
-73995.94370,-111894.54577,-89888.59908
-74059.67827,-112474.54742,-89881.14905
-74242.66821,-112992.91077,-89965.56459
-74537.74695,-113442.64543,-90144.74575
-74936.61765,-113817.71910,-90420.49208
-75429.92686,-114113.08319,-90793.40515
-76007.33966,-114324.71829,-91262.84679
-76657.63122,-114449.59122,-91826.89945
-77368.77005,-114485.61633,-92482.34683
-78128.04851,-114431.60322,-93224.70845
-78922.19228,-114287.15788,-94048.25560
-79737.49750,-114052.58488,-94946.08439
-80559.96037,-113728.78552,-95910.20237
-81375.45172,-113317.12611,-96931.63618
-82169.84809,-112819.34614,-98000.56533
-82929.22768,-112237.42286,-99106.47372
-83640.02551,-111573.47006,-100238.32959
-84289.20898,-110829.65188,-101384.74408
-84864.46788,-110008.09068,-102534.17845
-85354.37294,-109110.79596,-103675.14342
-85748.56098,-108139.62850,-104796.37743
-86037.87708,-107096.24500,-105887.06053
-86214.53329,-105982.10186,-106936.96967
-86272.24101,-104798.43826,-107936.68064
-86206.32363,-103546.31787,-108877.70684
-86013.80541,-102226.63863,-109752.62035
-85693.48191,-100840.19577,-110555.19473
-85245.96721,-99387.72334,-111280.44850
-84673.68679,-97869.97718,-111924.74414
-83980.88595,-96287.80766,-112485.76750
-83173.56615,-94642.21954,-112962.57732
-82259.41769,-92934.47546,-113355.53444
-81247.69780,-91166.15959,-113666.25197
-80149.11868,-89339.25932,-113897.51880
-78975.67623,-87456.23197,-114053.18212
-77740.47039,-85520.08559,-114138.01373
-76457.49802,-83534.42657,-114157.57134
-75141.45154,-81503.51205,-114118.01840
-73807.46445,-79432.29282,-114025.96544
-72470.90826,-77326.45403,-113888.27934
-71147.11384,-75192.42553,-113711.91551
-69851.16129,-73037.39666,-113503.72242
-68597.63945,-70869.33293,-113270.28831
-67400.40140,-68696.95266,-113017.75864
-66272.38624,-66529.71543,-112751.70553
-65225.39636,-64377.79341,-112476.98124
-64269.93264,-62252.04072,-112197.62561
-63415.05001,-60163.95230,-111916.75868
-62668.21279,-58125.58466,-111636.52771
-62035.20857,-56149.52670,-111358.05955
-61520.07818,-54248.79908,-111081.44944
-61125.05270,-52436.78671,-110805.77714
-60850.56217,-50727.14378,-110529.13600
-60695.23146,-49133.69220,-110248.69407
-60655.92620,-47670.31353,-109960.79081
-60727.84021,-46350.84414,-109661.03842
-60904.56312,-45188.92858,-109344.43867
-61178.21021,-44197.91323,-109005.54972
-61539.57324,-43390.70208,-108638.62052
-61978.27208,-42779.61744,-108237.77626
-62482.93514,-42376.26331,-107797.17927
-63041.38434,-42191.38995,-107311.22337
-63640.85181,-42234.75097,-106774.69963
-64268.18262,-42514.97517,-106182.98000
-64910.05400,-43039.44625,-105532.17510
-65553.19060,-43814.19035,-104819.29051
-66184.59557,-44843.78570,-104042.35655
-66791.73935,-46131.25869,-103200.56320
-67362.78243,-47678.03911,-102294.33582
-67886.76743,-49483.91431,-101325.40154
-68353.78583,-51546.99554,-100296.83586
-68755.14695,-53863.73100,-99213.07559
-69083.52348,-56428.92107,-98079.88473
-69333.06630,-59235.76308,-96904.30658
-69499.50174,-62275.92641,-95694.57964
-69580.20578,-65539.63762,-94460.01857
-69574.23215,-69015.78352,-93210.86746
-69482.36386,-72692.03734,-91958.13579
-69307.06660,-76554.99155,-90713.40073
